Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Identify trends and inconsistency,KAN-17,10076,Subtask,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:10 PM,02/Feb/26 10:24 PM,,02/Feb/26 10:24 PM,,0,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,,,,,0|i00073:,,,,10072,KAN-15,Exploratory Data Analysis ,Done,02/Feb/26 10:24 PM
Visualize key metrics,KAN-16,10074,Subtask,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:10 PM,02/Feb/26 10:24 PM,,02/Feb/26 10:24 PM,,0,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,,,,,0|i0006v:,,,,10072,KAN-15,Exploratory Data Analysis ,Done,02/Feb/26 10:24 PM
Exploratory Data Analysis ,KAN-15,10072,Task,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:10 PM,02/Feb/26 10:21 PM,02/Feb/26 9:44 PM,02/Feb/26 10:21 PM,23/Feb/26 12:00 AM,0,"Exploratory Data Analysis phase of the Power BI data analytics project, including Visualize key metrics, trends and inconsistency.",,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,KAN-11,KAN-18,,,0|i0006n:,13/Feb/26 12:00 AM,,,,,,Done,02/Feb/26 10:21 PM
Feature selection,KAN-14,10071,Subtask,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:10 PM,02/Feb/26 10:24 PM,,02/Feb/26 10:24 PM,,0,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,,,,,0|i0006f:,,,,10065,KAN-11,Data Cleaning ,Done,02/Feb/26 10:24 PM
Data transformation ,KAN-13,10069,Subtask,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:09 PM,02/Feb/26 10:25 PM,,02/Feb/26 10:25 PM,,0,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,,,,,0|i00067:,,,,10065,KAN-11,Data Cleaning ,Done,02/Feb/26 10:25 PM
Handle missing values,KAN-12,10067,Subtask,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:09 PM,02/Feb/26 10:25 PM,,02/Feb/26 10:25 PM,,0,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,,,,,0|i0005z:,,,,10065,KAN-11,Data Cleaning ,Done,02/Feb/26 10:25 PM
Data Cleaning ,KAN-11,10065,Task,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:08 PM,02/Feb/26 10:21 PM,02/Feb/26 9:08 PM,02/Feb/26 10:21 PM,,0,"Data Cleaning phase of the Power BI data analytics project including handle missing values, data transformation and feature selection.",,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,,KAN-15,,,0|i0005r:,,,,,,,Done,02/Feb/26 10:21 PM
Collect datasets,KAN-10,10064,Subtask,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:07 PM,02/Feb/26 10:25 PM,,02/Feb/26 10:25 PM,,0,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,,,,,0|i0005j:,,,,10060,KAN-8,Data Collection,Done,02/Feb/26 10:25 PM
Identify data sources,KAN-9,10062,Subtask,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:07 PM,02/Feb/26 10:25 PM,,02/Feb/26 10:25 PM,,0,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,,,,,0|i0005b:,,,,10060,KAN-8,Data Collection,Done,02/Feb/26 10:25 PM
Data Collection,KAN-8,10060,Task,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 9:05 PM,02/Feb/26 10:21 PM,02/Feb/26 9:43 PM,02/Feb/26 10:21 PM,12/Feb/26 12:00 AM,0,Data Collection phase of the Power BI data analytics project including defining data sources and datasets.,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,KAN-1,,,,0|i00053:,05/Feb/26 12:00 AM,,,,,,Done,02/Feb/26 10:21 PM
Risk assessment,KAN-6,10057,Subtask,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 8:58 PM,02/Feb/26 10:25 PM,,02/Feb/26 10:25 PM,,0,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,,,,,0|i0004v:,,,,10017,KAN-1,Planning,Done,02/Feb/26 10:25 PM
Identify stakeholders,KAN-5,10055,Subtask,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 8:58 PM,02/Feb/26 10:25 PM,,02/Feb/26 10:25 PM,,0,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,,,,,0|i0004n:,,,,10017,KAN-1,Planning,Done,02/Feb/26 10:25 PM
Define project objectives,KAN-4,10053,Subtask,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,02/Feb/26 8:57 PM,02/Feb/26 10:25 PM,,02/Feb/26 10:25 PM,,0,,,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,,,,,0|i0004f:,,,,10017,KAN-1,Planning,Done,02/Feb/26 10:25 PM
Planning,KAN-1,10017,Task,Done,KAN,Data Analytics Dashboard,software,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Your first project,Medium,Done,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,29/Jan/26 9:22 PM,02/Feb/26 10:21 PM,02/Feb/26 9:43 PM,02/Feb/26 10:21 PM,05/Feb/26 12:00 AM,0,"Planning phase of the Power BI data analytics project including defining objectives, stakeholders, and risks.",,Shahd Wael Attia ElGaar,712020:db8c9d96-d733-4e4e-9040-90dc4522e8a6,,,,,,,,,,KAN-8,,,0|i0003r:,,,,,,,Done,02/Feb/26 10:21 PM
